0.0000	0.0000	0.00
0.0000	0.0000	0.04
0.0000	0.1236	0.08
-0.0082	0.3493	0.12
-0.0320	0.6627	0.16
-0.0700	1.0398	0.20
-0.1181	1.4605	0.24
-0.1727	1.9112	0.28
-0.2315	2.3824	0.32
-0.2931	2.8678	0.36
-0.3564	3.3629	0.40
-0.4207	3.8635	0.44
-0.4830	4.3519	0.48
-0.5346	4.8163	0.52
-0.5654	5.2500	0.56
-0.5673	5.6514	0.60
-0.5354	6.0239	0.64
-0.4665	6.3774	0.68
-0.3563	6.7289	0.72
-0.1971	7.1036	0.76
0.0000	7.5000	0.80
0.2212	7.9115	0.84
0.4575	8.3339	0.88
0.7032	8.7642	0.92
0.9550	9.2002	0.96
1.2105	9.6402	1.00
1.4686	10.0831	1.04
1.7282	10.5281	1.08
1.9888	10.9744	1.12
2.2326	11.3916	1.16
2.4246	11.7457	1.20
2.5374	12.0157	1.24
2.5788	12.2122	1.28
2.5731	12.3500	1.32
2.5431	12.4397	1.36
2.5000	12.5000	1.40
2.3538	12.6114	1.44
2.0951	12.7411	1.48
1.7572	12.8708	1.52
1.3656	12.9981	1.56
0.9379	13.1241	1.60
0.4857	13.2502	1.64
0.0171	13.3769	1.68
-0.4628	13.5046	1.72
-0.9503	13.6331	1.76
-1.4429	13.7624	1.80
-1.9391	13.8923	1.84
-2.4377	14.0227	1.88
-2.9380	14.1534	1.92
-3.4394	14.2844	1.96
-3.9119	14.4078	2.00
-4.3126	14.5245	2.04
-4.6130	14.6419	2.08
-4.8077	14.7576	2.12
-4.9215	14.8673	2.16
-5.0000	15.0000	2.20
-5.0731	15.2504	2.24
-5.1221	15.5893	2.28
-5.1498	15.9866	2.32
-5.1630	16.4231	2.36
-5.1674	16.8861	2.40
-5.1666	17.3673	2.44
-5.1629	17.8608	2.48
-5.1576	18.3629	2.52
-5.1515	18.8708	2.56
-5.1448	19.3827	2.60
-5.1379	19.8974	2.64
-5.1308	20.4139	2.68
-5.1236	20.9318	2.72
-5.1164	21.4505	2.76
-5.1091	21.9699	2.80
-5.1018	22.4897	2.84
-5.0946	23.0097	2.88
-5.0873	23.5300	2.92
-5.0800	24.0504	2.96
-5.0727	24.5709	3.00
-5.0654	25.0914	3.04
-5.0581	25.6120	3.08
-5.0508	26.1327	3.12
-5.0435	26.6533	3.16
-5.0362	27.1740	3.20
-5.0290	27.6947	3.24
-5.0217	28.2154	3.28
-5.0144	28.7361	3.32
-5.0071	29.2567	3.36
-5.0000	29.7621	3.40
-5.0000	30.0000	3.44
